Timestamp (ns),Human-Readable Time (UTC),avenal-movie-theatre/ meter/ 0xd8d5b9000000b405/ demand (Min),avenal-movie-theatre/ meter/ 0xd8d5b9000000b405/ demand (Mean),avenal-movie-theatre/ meter/ 0xd8d5b9000000b405/ demand (Max),avenal-movie-theatre/ meter/ 0xd8d5b9000000b405/ demand (Count)
1513359008377864192,2017-12-15 17:30:08.377864192,800.000000,1246.838966,1800.000000,2515
1513363406424375296,2017-12-15 18:43:26.424375296,720.000000,1365.884544,2120.000000,2685
1513367804470886400,2017-12-15 19:56:44.470886400,680.000000,843.171171,2120.000000,2775
1513372202517397504,2017-12-15 21:10:02.517397504,720.000000,911.969027,1360.000000,1808
1513376600563908608,2017-12-15 22:23:20.563908608,1000.000000,1206.082290,2280.000000,559
1513380998610419712,2017-12-15 23:36:38.610419712,1160.000000,2217.777778,5720.000000,558
1513385396656930816,2017-12-16 00:49:56.656930816,2880.000000,4941.739130,6120.000000,552
1513389794703441920,2017-12-16 02:03:14.703441920,4320.000000,4773.718412,6560.000000,554
1513394192749953024,2017-12-16 03:16:32.749953024,4520.000000,5688.475836,7560.000000,538
1513398590796464128,2017-12-16 04:29:50.796464128,4160.000000,5416.129032,9440.000000,558
1513402988842975232,2017-12-16 05:43:08.842975232,2760.000000,3627.727273,8200.000000,528
1513407386889486336,2017-12-16 06:56:26.889486336,960.000000,2647.298748,3120.000000,559
1513411784935997440,2017-12-16 08:09:44.935997440,960.000000,1050.018692,1240.000000,535
1513416182982508544,2017-12-16 09:23:02.982508544,960.000000,1161.729730,1640.000000,555
1513420581029019648,2017-12-16 10:36:21.029019648,960.000000,1070.769231,1280.000000,546
1513424979075530752,2017-12-16 11:49:39.075530752,960.000000,1137.908257,1400.000000,545
1513429377122041856,2017-12-16 13:02:57.122041856,960.000000,1197.826087,1640.000000,552
1513433775168552960,2017-12-16 14:16:15.168552960,960.000000,1108.643761,1400.000000,553
1513438173215064064,2017-12-16 15:29:33.215064064,960.000000,1237.127469,1760.000000,557
1513442571261575168,2017-12-16 16:42:51.261575168,960.000000,1068.756757,1400.000000,555
1513446969308086272,2017-12-16 17:56:09.308086272,1000.000000,1243.740458,1800.000000,524
1513451367354597376,2017-12-16 19:09:27.354597376,960.000000,1369.288390,1680.000000,534
1513455765401108480,2017-12-16 20:22:45.401108480,920.000000,1289.585586,1640.000000,555
1513460163447619584,2017-12-16 21:36:03.447619584,920.000000,1116.301887,1520.000000,530
1513464561494130688,2017-12-16 22:49:21.494130688,920.000000,1068.273381,1360.000000,556
1513468959540641792,2017-12-17 00:02:39.540641792,960.000000,1601.660650,3120.000000,554
1513473357587152896,2017-12-17 01:15:57.587152896,2960.000000,3071.198569,3400.000000,559
1513477755633664000,2017-12-17 02:29:15.633664000,2960.000000,3122.101449,3320.000000,552
1513482153680175104,2017-12-17 03:42:33.680175104,3000.000000,3194.879406,3440.000000,539
1513486551726686208,2017-12-17 04:55:51.726686208,2960.000000,3146.327273,3720.000000,550
1513490949773197312,2017-12-17 06:09:09.773197312,2960.000000,3167.050360,3680.000000,556
1513495347819708416,2017-12-17 07:22:27.819708416,1240.000000,2328.673835,3400.000000,558
1513499745866219520,2017-12-17 08:35:45.866219520,1120.000000,1407.305606,1760.000000,553
1513504143912730624,2017-12-17 09:49:03.912730624,1120.000000,1356.998124,1600.000000,533
1513508541959241728,2017-12-17 11:02:21.959241728,1280.000000,1416.274864,1920.000000,553
1513512940005752832,2017-12-17 12:15:40.005752832,1000.000000,1193.846154,1800.000000,546
1513517338052263936,2017-12-17 13:28:58.052263936,1080.000000,1238.957169,1520.000000,537
1513521736098775040,2017-12-17 14:42:16.098775040,960.000000,1193.093525,1520.000000,556
1513526134145286144,2017-12-17 15:55:34.145286144,960.000000,1239.843750,1600.000000,512
1513530532191797248,2017-12-17 17:08:52.191797248,960.000000,1147.753623,1440.000000,552
1513534930238308352,2017-12-17 18:22:10.238308352,960.000000,1224.792793,1760.000000,555
1513539328284819456,2017-12-17 19:35:28.284819456,1200.000000,1315.724638,1520.000000,552
1513543726331330560,2017-12-17 20:48:46.331330560,920.000000,1326.428571,1800.000000,560
1513548124377841664,2017-12-17 22:02:04.377841664,920.000000,1009.063670,1240.000000,534
1513552522424352768,2017-12-17 23:15:22.424352768,920.000000,1026.256781,1240.000000,553
1513556920470863872,2017-12-18 00:28:40.470863872,1120.000000,2270.252708,3200.000000,554
1513561318517374976,2017-12-18 01:41:58.517374976,2880.000000,3100.976492,3320.000000,553
1513565716563886080,2017-12-18 02:55:16.563886080,2920.000000,3145.454545,3560.000000,550
1513570114610397184,2017-12-18 04:08:34.610397184,3000.000000,3157.777778,3360.000000,504
1513574512656908288,2017-12-18 05:21:52.656908288,3040.000000,3189.202899,3680.000000,552
1513578910703419392,2017-12-18 06:35:10.703419392,2880.000000,3145.591398,3600.000000,558
1513583308749930496,2017-12-18 07:48:28.749930496,1280.000000,1724.927536,3240.000000,552
1513587706796441600,2017-12-18 09:01:46.796441600,1120.000000,1411.191336,1760.000000,554
1513592104842952704,2017-12-18 10:15:04.842952704,1400.000000,1483.424408,1920.000000,549
1513596502889463808,2017-12-18 11:28:22.889463808,1120.000000,1323.781818,1880.000000,550
1513600900935974912,2017-12-18 12:41:40.935974912,1040.000000,1317.179024,1760.000000,553
1513605298982486016,2017-12-18 13:54:58.982486016,1080.000000,1281.077199,1720.000000,557
1513609697028997120,2017-12-18 15:08:17.028997120,1160.000000,1619.297597,4520.000000,541
1513614095075508224,2017-12-18 16:21:35.075508224,1320.000000,1671.583333,2160.000000,480
1513618493122019328,2017-12-18 17:34:53.122019328,1520.000000,1588.097928,1760.000000,531
1513631687261552640,2017-12-18 21:14:47.261552640,2360.000000,2417.777778,2480.000000,9
