,time,resids,b_predictor
0,,,
0,,,-6.616666666666666e-05
1,,,-7.044444444444444e-05
2,,,-7.253333333333334e-05
3,,,-8.666666666666666e-06
4,,,-1.893333333333333e-05
5,,,-8e-06
6,,,-5.1111111111111115e-06
7,,,-1.3333333333333334e-06
8,,,
9,,,-6.80952380952381e-05
10,,,-6.911111111111111e-05
11,,,-5.833333333333333e-05
12,,,-5.844444444444445e-05
13,,,-5.766666666666667e-05
14,,,-5.599999999999999e-05
15,,,-5.825e-05
16,,,-6.704761904761906e-05
17,,,-7.155555555555555e-05
18,,,-7.616666666666667e-05
19,,,-7.900000000000001e-05
20,,,3.546666666666667e-05
21,,,3.476190476190476e-05
22,,,-6e-06
23,,,-2.1733333333333334e-05
24,,,-1.3500000000000001e-05
25,,,-6.666666666666667e-06
26,,,-9.199999999999999e-05
27,,,-7.411111111111113e-05
28,,,-8.433333333333333e-05
29,,,-6.633333333333334e-05
30,,,-6.657142857142857e-05
31,,,-6.674074074074073e-05
32,,,-7.666666666666666e-05
33,,,-0.00011033333333333334
34,,,-0.000106
35,,,-0.00012255555555555555
36,,,-7.866666666666666e-05
37,,,-7.8e-05
38,,,-9.6e-05
39,,,-9.066666666666667e-05
40,,,-8.166666666666667e-05
41,,,-7.533333333333333e-05
42,,,-6.733333333333333e-05
43,,,-4.741666666666667e-05
44,,,-5.573333333333334e-05
45,,,-5.108333333333333e-05
46,,,-6.361904761904762e-05
47,,,-7.488888888888889e-05
48,,,-8.653333333333334e-05
49,,,-7.866666666666666e-05
50,,,-9e-05
51,,,-0.0001
52,,,-0.00012066666666666667
53,,,-9.15e-05
54,,,-7.466666666666667e-05
55,,,-7.233333333333333e-05
56,,,-7.266666666666667e-05
57,,,-9.755555555555556e-05
58,,,-0.00011399999999999999
59,,,-6.955555555555556e-05
60,,,-6.561904761904762e-05
61,,,-5.380952380952381e-05
62,,,-0.000101
63,,,-8.133333333333334e-05
64,,,-0.00011066666666666666
65,,,-0.0001059047619047619
66,,,-0.00010266666666666666
67,,,-7.911111111111111e-05
68,,,-9.111111111111112e-05
69,,,-8.155555555555555e-05
70,,,-8.866666666666668e-05
71,,,-0.00010883333333333334
72,,,-9.949999999999999e-05
73,,,-0.00012133333333333332
74,,,-0.00012033333333333335
75,,,-7.228571428571429e-05
76,,,-6.96e-05
77,,,-7.520000000000001e-05
78,,,-7.133333333333334e-05
79,,,-8.033333333333334e-05
80,,,-0.0001048
81,,,-9.311111111111111e-05
82,,,-9.966666666666667e-05
83,,,-9.733333333333333e-05
84,,,-8.36e-05
85,,,-7.866666666666666e-05
86,,,-0.000176
87,,,-0.00016155555555555555
88,,,-0.00016504761904761903
89,,,-0.00018306666666666665
90,,,-0.00013714285714285713
91,,,-0.0001422222222222222
92,,,-0.000141
93,,,-0.00017044444444444445
94,,,-0.00016466666666666667
95,,,-6.114285714285714e-05
96,,,-6.850000000000001e-05
97,,,-6.716666666666667e-05
98,,,-9.400000000000001e-05
99,,,-5.5222222222222226e-05
100,,,-3.9666666666666664e-05
101,,,5.166666666666668e-06
102,,,-2.422222222222222e-05
103,,,-1.7111111111111115e-05
104,,,-3.4e-05
105,,,-3.483333333333333e-05
106,,,-9.559999999999999e-05
107,,,-7.304761904761904e-05
108,,,-7.186666666666667e-05
109,,,-8.38095238095238e-05
110,,,-6.966666666666666e-05
111,,,-6.111111111111112e-05
112,,,-6.885714285714286e-05
113,,,-7.599999999999999e-05
114,,,-0.00011226666666666667
115,,,-0.00011485714285714285
116,,,-0.0001039047619047619
117,,,-0.00010575
118,,,-8.626666666666667e-05
119,,,-6.199999999999999e-05
120,,,-6.258333333333333e-05
121,,,-5.8666666666666665e-05
122,,,-7.04e-05
123,,,-6.438095238095238e-05
124,,,-6.495238095238095e-05
125,,,-8.533333333333334e-05
126,,,-0.00011333333333333333
127,,,-7.866666666666666e-05
128,,,-5.7777777777777776e-05
129,,,-6.788888888888888e-05
130,,,-0.0001
131,,,-7.053333333333333e-05
132,,,-7.466666666666667e-05
133,,,-8.893333333333334e-05
134,,,-7.066666666666667e-05
135,,,-6.748148148148147e-05
136,,,-6.733333333333333e-05
137,,,-0.00014044444444444442
138,,,-0.00013533333333333336
139,,,-0.00014613333333333335
140,,,-0.00016419047619047617
141,,,-0.00016050000000000003
142,,,-0.00017133333333333331
143,,,-0.00015558333333333334
144,,,-6.633333333333334e-05
145,,,-6.580952380952381e-05
146,,,-7.016666666666666e-05
147,,,-7.066666666666667e-05
148,,,-6.377777777777778e-05
149,,,-6.658333333333333e-05
150,,,-7.21111111111111e-05
151,,,7.733333333333334e-06
152,,,-1.1333333333333334e-05
153,,,-1.1833333333333332e-05
154,,,-6.666666666666667e-06
155,,,-4e-06
156,,,-8.333333333333333e-05
157,,,-7.033333333333333e-05
158,,,-7.622222222222222e-05
159,,,-7.266666666666667e-05
160,,,-6.922222222222223e-05
161,,,-6.725000000000001e-05
162,,,-6.555555555555556e-05
163,,,-5.8952380952380956e-05
164,,,-6.866666666666666e-05
165,,,-5.552380952380952e-05
166,,,-5.15e-05
167,,,-5.133333333333333e-05
168,,,-5.883333333333334e-05
169,,,-6.508333333333333e-05
170,,,-7.000000000000001e-05
171,,,-6.533333333333333e-05
172,,,-6.304761904761906e-05
173,,,-6.391666666666667e-05
174,,,-6.790476190476192e-05
175,,,-0.00014199999999999998
176,,,-0.00012883333333333334
177,,,-0.00012923809523809524
178,,,-0.00012841666666666668
179,,,-0.000133
180,,,-0.00013244444444444444
181,,,-0.000135
182,,,-5.180952380952381e-05
183,,,-1.5000000000000005e-05
184,,,-3.571428571428571e-05
185,,,-5.208333333333334e-05
186,,,-5.142857142857143e-05
187,,,-6.666666666666667e-05
188,,,-6.6e-05
189,,,2e-06
190,,,2.666666666666667e-06
191,,,
192,,,-4e-06
193,,,2e-06
194,,,3.3333333333333335e-07
195,,,-8.833333333333333e-05
196,,,-7.44e-05
197,,,-7.16e-05
198,,,-7.106666666666667e-05
199,,,-7.114285714285714e-05
200,,,-7.144444444444445e-05
201,,,-7.066666666666667e-05
202,,,-6.323809523809524e-05
203,,,-6.319999999999999e-05
204,,,-6.0133333333333336e-05
205,,,-5.9777777777777784e-05
206,,,-7.222222222222222e-05
207,,,-7.533333333333333e-05
208,,,-0.00015800000000000002
209,,,-0.0001432
210,,,-0.00013961904761904763
211,,,-0.00014028571428571426
212,,,-0.0001417777777777778
213,,,-0.00013511111111111113
214,,,-0.00013493333333333332
215,,,-0.0001435
216,,,-0.00014933333333333335
217,,,-0.0001485
218,,,-0.00015266666666666667
219,,,-0.00014833333333333335
220,,,-0.00014941666666666668
221,,,-0.000135
222,,,-5.966666666666667e-05
223,,,6e-06
224,,,2e-06
225,,,6.888888888888889e-06
226,,,-3.3333333333333333e-06
227,,,-1.2533333333333334e-05
228,,,-1.2666666666666667e-05
229,,,-7.111111111111112e-06
230,,,-4e-06
231,,,-5.666666666666667e-06
232,,,-6.666666666666667e-06
233,,,-7.533333333333333e-05
234,,,-6.813333333333334e-05
235,,,-7.014814814814815e-05
236,,,-7.311111111111111e-05
237,,,-7.180952380952381e-05
238,,,-0.0001356
239,,,-0.0001177142857142857
240,,,-0.00013475000000000002
241,,,-0.0001415238095238095
242,,,-0.0001296
243,,,-0.00013276190476190476
244,,,-0.00013590476190476192
245,,,-0.00014946666666666668
246,,,-0.00015253333333333332
247,,,-0.00014822222222222222
248,,,-0.0001533333333333333
249,,,-0.00014466666666666667
250,,,-0.00016066666666666668
251,,,-0.00014000000000000001
252,,,-0.00013653333333333334
253,,,-0.00014933333333333335
254,,,-0.000154
255,,,-6.583333333333334e-05
256,,,-6.152380952380952e-05
257,,,-6.425e-05
258,,,-7.013333333333333e-05
259,,,-9.675e-05
260,,,-9.277777777777778e-05
261,,,-7.377777777777778e-05
262,,,-6.933333333333333e-05
263,,,-6.633333333333334e-05
264,,,-6.65e-05
265,,,-3.7999999999999995e-05
266,,,-2.5666666666666666e-05
267,,,-8.685714285714286e-05
268,,,-8.977777777777778e-05
269,,,-7.4e-05
270,,,-6.613333333333333e-05
271,,,-6.391666666666667e-05
272,,,-5.375e-05
273,,,-5.644444444444445e-05
274,,,-6.177777777777779e-05
275,,,-0.00010716666666666666
276,,,-9.457142857142858e-05
277,,,-9.552380952380952e-05
278,,,-9.657142857142857e-05
279,,,-9.658333333333333e-05
280,,,-9.251851851851852e-05
281,,,-9.161904761904761e-05
