Timestamp (ns),Human-Readable Time (UTC),ciee/ devices/ meter/ 0xd8d5b9000000a110/ demand (Min),ciee/ devices/ meter/ 0xd8d5b9000000a110/ demand (Mean),ciee/ devices/ meter/ 0xd8d5b9000000a110/ demand (Max),ciee/ devices/ meter/ 0xd8d5b9000000a110/ demand (Count),ciee/ devices/ meter/ 0xd8d5b9000000a110/ price (Min),ciee/ devices/ meter/ 0xd8d5b9000000a110/ price (Mean),ciee/ devices/ meter/ 0xd8d5b9000000a110/ price (Max),ciee/ devices/ meter/ 0xd8d5b9000000a110/ price (Count),ciee/ devices/ meter/ 0xd8d5b9000000a110/ summation_received (Min),ciee/ devices/ meter/ 0xd8d5b9000000a110/ summation_received (Mean),ciee/ devices/ meter/ 0xd8d5b9000000a110/ summation_received (Max),ciee/ devices/ meter/ 0xd8d5b9000000a110/ summation_received (Count),ciee/ devices/ meter/ 0xd8d5b9000000a110/ summation_delivered (Min),ciee/ devices/ meter/ 0xd8d5b9000000a110/ summation_delivered (Mean),ciee/ devices/ meter/ 0xd8d5b9000000a110/ summation_delivered (Max),ciee/ devices/ meter/ 0xd8d5b9000000a110/ summation_delivered (Count),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Min),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Mean),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Max),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Count)
1507892236564561920,2017-10-13 10:57:16.564561920,1760.000000,1964.282238,3360.000000,411,0.211970,0.211970,0.211970,411,0.250000,0.250000,0.250000,411,774.313000,774.327959,774.342000,411,ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Min),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Mean),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Max),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Count)
1507894435587817472,2017-10-13 11:33:55.587817472,1760.000000,1870.851582,3320.000000,411,0.211970,0.211970,0.211970,411,0.250000,0.250000,0.250000,411,774.342000,774.357876,774.370000,411,ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Min),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Mean),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Max),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Count)
1507896634611073024,2017-10-13 12:10:34.611073024,1760.000000,2337.365854,4000.000000,410,0.211970,0.211970,0.211970,410,0.250000,0.250000,0.250000,410,774.370000,774.387449,774.406000,410,ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Min),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Mean),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Max),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Count)
1507898833634328576,2017-10-13 12:47:13.634328576,2480.000000,2649.359606,4080.000000,406,0.211970,0.211970,0.211970,406,0.250000,0.250000,0.250000,406,774.406000,774.425872,774.445000,406,ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Min),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Mean),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Max),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Count)
1507901032657584128,2017-10-13 13:23:52.657584128,1840.000000,2353.316953,3840.000000,407,0.211970,0.211970,0.211970,407,0.250000,0.250000,0.250000,407,774.445000,774.466926,774.486000,407,ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Min),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Mean),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Max),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Count)
1507903231680839680,2017-10-13 14:00:31.680839680,1800.000000,1921.081081,3320.000000,407,0.211970,0.211970,0.211970,407,0.250000,0.250000,0.250000,407,774.486000,774.500027,774.515000,407,ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Min),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Mean),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Max),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Count)
1507905430704095232,2017-10-13 14:37:10.704095232,1760.000000,2245.951220,4160.000000,410,0.211970,0.211970,0.211970,410,0.250000,0.250000,0.250000,410,774.515000,774.530646,774.548000,410,ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Min),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Mean),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Max),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Count)
1507907629727350784,2017-10-13 15:13:49.727350784,1760.000000,1911.637280,3320.000000,397,0.211970,0.226925,0.239330,397,0.250000,0.250000,0.250000,397,774.548000,774.564914,774.581000,397,ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Min),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Mean),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Max),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Count)
1507909828750606336,2017-10-13 15:50:28.750606336,1800.000000,3134.747475,4680.000000,396,0.239330,0.239330,0.239330,396,0.250000,0.250000,0.250000,396,774.581000,774.598732,774.624000,396,ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Min),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Mean),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Max),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Count)
1507912027773861888,2017-10-13 16:27:07.773861888,2400.000000,2971.486146,5080.000000,397,0.239330,0.239330,0.239330,397,0.250000,0.250000,0.250000,397,774.624000,774.647068,774.669000,397,ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Min),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Mean),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Max),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Count)
1507914226797117440,2017-10-13 17:03:46.797117440,2680.000000,3872.982456,5520.000000,399,0.239330,0.239330,0.239330,399,0.250000,0.250000,0.250000,399,774.669000,774.695388,774.728000,399,ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Min),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Mean),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Max),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Count)
1507916425820372992,2017-10-13 17:40:25.820372992,3520.000000,6415.062344,15440.000000,401,0.239330,0.239330,0.239330,401,0.250000,0.250000,0.250000,401,774.728000,774.756112,774.780000,401,ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Min),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Mean),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Max),ciee/ devices/ meter/ 0xd8d5b9000000a110/ tier (Count)
